resultId,circuitID,Weather,raceId,driverId,constructorId,positionOrder,laps,pit_id,pit stops duration,# of pitstops,quali_ position
25383,77,0,1072,853,210,18,14,1072-853,49.226,2,20
25384,77,0,1072,847,3,19,14,1072-847,20.519,0,14
25385,77,0,1072,854,210,20,8,1072-854,50,3,19
25386,24,0,1073,830,9,1,58,1073-830,21.152,1,1
25387,24,0,1073,1,131,2,58,1073-1,21.595,1,2
25388,24,0,1073,832,6,3,58,1073-832,22.213,2,5
25389,24,0,1073,852,213,4,58,1073-852,22.455,2,8
25390,24,0,1073,842,213,5,58,1073-842,22.133,1,12
25391,24,0,1073,822,131,6,58,1073-822,21.669,2,6
25392,24,0,1073,846,1,7,58,1073-846,21.38,1,3
25393,24,0,1073,4,214,8,58,1073-4,21.304,1,11
25394,24,0,1073,839,214,9,58,1073-839,21.677,2,9
25395,24,0,1073,844,6,10,58,1073-844,22.461,1,7
25396,24,0,1073,20,117,11,58,1073-20,21.221,2,15
25397,24,0,1073,817,1,12,57,1073-817,21.449,2,10
25398,24,0,1073,840,117,13,57,1073-840,22.288,2,13
25399,24,0,1073,854,210,14,57,1073-854,22.124,3,19
25400,24,0,1073,815,9,15,55,1073-815,21.471,1,4
25401,24,0,1073,849,3,16,50,1073-849,21.241,1,16
25402,24,0,1073,841,51,17,33,1073-841,22.283,0,14
25403,24,0,1073,847,3,18,26,1073-847,50,1,17
25404,24,0,1073,8,51,19,25,1073-8,22.338,0,18
25405,24,0,1073,853,210,20,0,1073-853,50,3,20
25406,3,0,1074,844,6,1,57,1074-844,25.012,3,1
25407,3,0,1074,832,6,2,57,1074-832,24.666,3,3
25408,3,0,1074,1,131,3,57,1074-1,25.201,3,5
25409,3,0,1074,847,131,4,57,1074-847,25.888,3,9
25410,3,0,1074,825,210,5,57,1074-825,25.478,3,7
25411,3,0,1074,822,51,6,57,1074-822,25.893,3,6
25412,3,0,1074,839,214,7,57,1074-839,30.484,3,11
25413,3,0,1074,852,213,8,57,1074-852,26.095,3,16
25414,3,0,1074,4,214,9,57,1074-4,25.365,3,8
25415,3,0,1074,855,51,10,57,1074-855,25.428,2,15
25416,3,0,1074,854,210,11,57,1074-854,25.214,3,12
25417,3,0,1074,840,117,12,57,1074-840,25.739,3,19
25418,3,0,1074,848,3,13,57,1074-848,24.874,3,14
25419,3,0,1074,817,1,14,57,1074-817,24.915,3,18
25420,3,0,1074,846,1,15,57,1074-846,24.568,3,13
25421,3,0,1074,849,3,16,57,1074-849,24.457,3,20
25422,3,0,1074,807,117,17,57,1074-807,27.365,3,17
25423,3,0,1074,815,9,18,56,1074-815,25.046,3,4
25424,3,0,1074,830,9,19,54,1074-830,24.897,2,2
